# Renewables.ninja Solar PV (Point API) - 45.083, 10.648 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Rome, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Rome", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "45.082890962480626", "lon": "10.6483144502525", "date_from": "2010-01-01", "date_to": "2010-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.2", "tracking": "0", "tilt": "39", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2010-01-01 00:00,2010-01-01 01:00,0,0,0,3.163
2010-01-01 01:00,2010-01-01 02:00,0,0,0,2.836
2010-01-01 02:00,2010-01-01 03:00,0,0,0,2.689
2010-01-01 03:00,2010-01-01 04:00,0,0,0,2.722
2010-01-01 04:00,2010-01-01 05:00,0,0,0,2.790
2010-01-01 05:00,2010-01-01 06:00,0,0,0,2.848
2010-01-01 06:00,2010-01-01 07:00,0,0,0,2.781
2010-01-01 07:00,2010-01-01 08:00,0.009,0.003,0.018,3.021
2010-01-01 08:00,2010-01-01 09:00,0.042,0.007,0.056,3.736
2010-01-01 09:00,2010-01-01 10:00,0.076,0.013,0.093,4.301
2010-01-01 10:00,2010-01-01 11:00,0.077,0.010,0.097,4.732
2010-01-01 11:00,2010-01-01 12:00,0.073,0.008,0.094,4.944
2010-01-01 12:00,2010-01-01 13:00,0.071,0.009,0.091,4.982
2010-01-01 13:00,2010-01-01 14:00,0.055,0.008,0.073,4.651
2010-01-01 14:00,2010-01-01 15:00,0.022,0.004,0.035,4.021
2010-01-01 15:00,2010-01-01 16:00,0,0.001,0.005,3.481
2010-01-01 16:00,2010-01-01 17:00,0,0,0,3.005
2010-01-01 17:00,2010-01-01 18:00,0,0,0,2.934
2010-01-01 18:00,2010-01-01 19:00,0,0,0,3.112
2010-01-01 19:00,2010-01-01 20:00,0,0,0,3.306
2010-01-01 20:00,2010-01-01 21:00,0,0,0,3.179
2010-01-01 21:00,2010-01-01 22:00,0,0,0,2.852
2010-01-01 22:00,2010-01-01 23:00,0,0,0,2.675
2010-01-01 23:00,2010-01-02 00:00,0,0,0,2.698
2010-01-02 00:00,2010-01-02 01:00,0,0,0,2.878
2010-01-02 01:00,2010-01-02 02:00,0,0,0,3.148
2010-01-02 02:00,2010-01-02 03:00,0,0,0,3.257
2010-01-02 03:00,2010-01-02 04:00,0,0,0,3.226
2010-01-02 04:00,2010-01-02 05:00,0,0,0,2.809
2010-01-02 05:00,2010-01-02 06:00,0,0,0,2.244
2010-01-02 06:00,2010-01-02 07:00,0,0,0,1.820
2010-01-02 07:00,2010-01-02 08:00,0.094,0.093,0.033,2.193
2010-01-02 08:00,2010-01-02 09:00,0.296,0.293,0.072,4.331
2010-01-02 09:00,2010-01-02 10:00,0.446,0.476,0.086,6.311
2010-01-02 10:00,2010-01-02 11:00,0.518,0.572,0.094,7.905
2010-01-02 11:00,2010-01-02 12:00,0.528,0.586,0.098,8.855
2010-01-02 12:00,2010-01-02 13:00,0.457,0.482,0.103,9.076
