# Renewables.ninja Wind power (Point API) - 39.847, 8.906 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Rome, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Rome", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "39.847165713851915", "lon": "8.906357219803098", "date_from": "2010-01-01", "date_to": "2010-12-31", "dataset": "merra2", "capacity": "1", "height": "110", "turbine": "Vestas V126 3450", "raw": true}}
time,local_time,electricity,wind_speed
2010-01-01 00:00,2010-01-01 01:00,0.916,12.283
2010-01-01 01:00,2010-01-01 02:00,0.927,12.548
2010-01-01 02:00,2010-01-01 03:00,0.957,13.536
2010-01-01 03:00,2010-01-01 04:00,0.976,14.857
2010-01-01 04:00,2010-01-01 05:00,0.972,16.078
2010-01-01 05:00,2010-01-01 06:00,0.938,17.405
2010-01-01 06:00,2010-01-01 07:00,0.919,17.832
2010-01-01 07:00,2010-01-01 08:00,0.934,17.500
2010-01-01 08:00,2010-01-01 09:00,0.931,17.569
2010-01-01 09:00,2010-01-01 10:00,0.933,17.512
2010-01-01 10:00,2010-01-01 11:00,0.922,17.770
2010-01-01 11:00,2010-01-01 12:00,0.903,18.121
2010-01-01 12:00,2010-01-01 13:00,0.896,18.244
2010-01-01 13:00,2010-01-01 14:00,0.908,18.039
2010-01-01 14:00,2010-01-01 15:00,0.941,17.319
2010-01-01 15:00,2010-01-01 16:00,0.957,16.844
2010-01-01 16:00,2010-01-01 17:00,0.963,16.591
2010-01-01 17:00,2010-01-01 18:00,0.968,16.321
2010-01-01 18:00,2010-01-01 19:00,0.969,16.273
2010-01-01 19:00,2010-01-01 20:00,0.973,16.033
2010-01-01 20:00,2010-01-01 21:00,0.973,15.997
2010-01-01 21:00,2010-01-01 22:00,0.976,15.619
2010-01-01 22:00,2010-01-01 23:00,0.977,15.302
2010-01-01 23:00,2010-01-02 00:00,0.977,14.905
2010-01-02 00:00,2010-01-02 01:00,0.971,14.292
2010-01-02 01:00,2010-01-02 02:00,0.958,13.587
2010-01-02 02:00,2010-01-02 03:00,0.946,13.110
2010-01-02 03:00,2010-01-02 04:00,0.936,12.795
2010-01-02 04:00,2010-01-02 05:00,0.916,12.288
2010-01-02 05:00,2010-01-02 06:00,0.887,11.713
2010-01-02 06:00,2010-01-02 07:00,0.861,11.280
2010-01-02 07:00,2010-01-02 08:00,0.793,10.440
2010-01-02 08:00,2010-01-02 09:00,0.821,10.757
2010-01-02 09:00,2010-01-02 10:00,0.858,11.243
2010-01-02 10:00,2010-01-02 11:00,0.862,11.314
2010-01-02 11:00,2010-01-02 12:00,0.852,11.156
2010-01-02 12:00,2010-01-02 13:00,0.869,11.421
2010-01-02 13:00,2010-01-02 14:00,0.885,11.681
2010-01-02 14:00,2010-01-02 15:00,0.878,11.560
2010-01-02 15:00,2010-01-02 16:00,0.875,11.507
2010-01-02 16:00,2010-01-02 17:00,0.866,11.351
2010-01-02 17:00,2010-01-02 18:00,0.861,11.296
2010-01-02 18:00,2010-01-02 19:00,0.864,11.326
2010-01-02 19:00,2010-01-02 20:00,0.864,11.337
2010-01-02 20:00,2010-01-02 21:00,0.827,10.840
2010-01-02 21:00,2010-01-02 22:00,0.795,10.476
2010-01-02 22:00,2010-01-02 23:00,0.758,10.108
2010-01-02 23:00,2010-01-03 00:00,0.727,9.826
2010-01-03 00:00,2010-01-03 01:00,0.709,9.676
2010-01-03 01:00,2010-01-03 02:00,0.647,9.212
2010-01-03 02:00,2010-01-03 03:00,0.573,8.696
2010-01-03 03:00,2010-01-03 04:00,0.545,8.518
2010-01-03 04:00,2010-01-03 05:00,0.392,7.568
2010-01-03 05:00,2010-01-03 06:00,0.235,6.519
2010-01-03 06:00,2010-01-03 07:00,0.132,5.640
2010-01-03 07:00,2010-01-03 08:00,0.089,5.141
2010-01-03 08:00,2010-01-03 09:00,0.091,5.155
2010-01-03 09:00,2010-01-03 10:00,0.128,5.580
2010-01-03 10:00,2010-01-03 11:00,0.086,5.098
2010-01-03 11:00,2010-01-03 12:00,0.053,4.582
2010-01-03 12:00,2010-01-03 13:00,0.034,4.165
2010-01-03 13:00,2010-01-03 14:00,0.028,4.019
2010-01-03 14:00,2010-01-03 15:00,0.014,3.547
2010-01-03 15:00,2010-01-03 16:00,0.003,2.841
2010-01-03 16:00,2010-01-03 17:00,0,1.918
2010-01-03 17:00,2010-01-03 18:00,0.001,2.508
2010-01-03 18:00,2010-01-03 19:00,0.010,3.351
2010-01-03 19:00,2010-01-03 20:00,0.061,4.713
2010-01-03 20:00,2010-01-03 21:00,0.106,5.349
2010-01-03 21:00,2010-01-03 22:00,0.142,5.732
2010-01-03 22:00,2010-01-03 23:00,0.185,6.128
2010-01-03 23:00,2010-01-04 00:00,0.188,6.153
2010-01-04 00:00,2010-01-04 01:00,0.201,6.254
2010-01-04 01:00,2010-01-04 02:00,0.250,6.630
2010-01-04 02:00,2010-01-04 03:00,0.303,7.000
2010-01-04 03:00,2010-01-04 04:00,0.323,7.126
2010-01-04 04:00,2010-01-04 05:00,0.292,6.917
2010-01-04 05:00,2010-01-04 06:00,0.266,6.734
2010-01-04 06:00,2010-01-04 07:00,0.266,6.733
2010-01-04 07:00,2010-01-04 08:00,0.241,6.565
2010-01-04 08:00,2010-01-04 09:00,0.150,5.804
2010-01-04 09:00,2010-01-04 10:00,0.129,5.608
2010-01-04 10:00,2010-01-04 11:00,0.091,5.159
2010-01-04 11:00,2010-01-04 12:00,0.059,4.679
2010-01-04 12:00,2010-01-04 13:00,0.044,4.399
2010-01-04 13:00,2010-01-04 14:00,0.032,4.129
2010-01-04 14:00,2010-01-04 15:00,0.020,3.791
2010-01-04 15:00,2010-01-04 16:00,0.018,3.698
2010-01-04 16:00,2010-01-04 17:00,0.024,3.905
2010-01-04 17:00,2010-01-04 18:00,0.031,4.101
2010-01-04 18:00,2010-01-04 19:00,0.040,4.311
2010-01-04 19:00,2010-01-04 20:00,0.056,4.619
2010-01-04 20:00,2010-01-04 21:00,0.066,4.796
2010-01-04 21:00,2010-01-04 22:00,0.056,4.627
2010-01-04 22:00,2010-01-04 23:00,0.051,4.527
2010-01-04 23:00,2010-01-05 00:00,0.076,4.951
2010-01-05 00:00,2010-01-05 01:00,0.121,5.517
2010-01-05 01:00,2010-01-05 02:00,0.163,5.935
2010-01-05 02:00,2010-01-05 03:00,0.211,6.336
2010-01-05 03:00,2010-01-05 04:00,0.270,6.774
2010-01-05 04:00,2010-01-05 05:00,0.367,7.411
2010-01-05 05:00,2010-01-05 06:00,0.422,7.745
2010-01-05 06:00,2010-01-05 07:00,0.504,8.255
2010-01-05 07:00,2010-01-05 08:00,0.432,7.817
2010-01-05 08:00,2010-01-05 09:00,0.234,6.518
2010-01-05 09:00,2010-01-05 10:00,0.154,5.851
2010-01-05 10:00,2010-01-05 11:00,0.170,6.001
2010-01-05 11:00,2010-01-05 12:00,0.257,6.681
2010-01-05 12:00,2010-01-05 13:00,0.362,7.375
2010-01-05 13:00,2010-01-05 14:00,0.483,8.126
2010-01-05 14:00,2010-01-05 15:00,0.502,8.248
2010-01-05 15:00,2010-01-05 16:00,0.523,8.378
2010-01-05 16:00,2010-01-05 17:00,0.608,8.934
2010-01-05 17:00,2010-01-05 18:00,0.678,9.434
2010-01-05 18:00,2010-01-05 19:00,0.781,10.325
2010-01-05 19:00,2010-01-05 20:00,0.840,10.992
2010-01-05 20:00,2010-01-05 21:00,0.835,10.936
2010-01-05 21:00,2010-01-05 22:00,0.803,10.564
2010-01-05 22:00,2010-01-05 23:00,0.747,10.008
2010-01-05 23:00,2010-01-06 00:00,0.648,9.214
2010-01-06 00:00,2010-01-06 01:00,0.576,8.720
2010-01-06 01:00,2010-01-06 02:00,0.573,8.692
2010-01-06 02:00,2010-01-06 03:00,0.580,8.737
2010-01-06 03:00,2010-01-06 04:00,0.576,8.720
2010-01-06 04:00,2010-01-06 05:00,0.542,8.499
2010-01-06 05:00,2010-01-06 06:00,0.451,7.924
2010-01-06 06:00,2010-01-06 07:00,0.307,7.025
2010-01-06 07:00,2010-01-06 08:00,0.169,5.986
2010-01-06 08:00,2010-01-06 09:00,0.105,5.330
2010-01-06 09:00,2010-01-06 10:00,0.077,4.969
2010-01-06 10:00,2010-01-06 11:00,0.037,4.252
2010-01-06 11:00,2010-01-06 12:00,0.063,4.743
2010-01-06 12:00,2010-01-06 13:00,0.179,6.072
2010-01-06 13:00,2010-01-06 14:00,0.329,7.164
2010-01-06 14:00,2010-01-06 15:00,0.232,6.491
2010-01-06 15:00,2010-01-06 16:00,0.120,5.505
2010-01-06 16:00,2010-01-06 17:00,0.149,5.800
2010-01-06 17:00,2010-01-06 18:00,0.177,6.050
2010-01-06 18:00,2010-01-06 19:00,0.189,6.161
2010-01-06 19:00,2010-01-06 20:00,0.200,6.253
2010-01-06 20:00,2010-01-06 21:00,0.194,6.202
2010-01-06 21:00,2010-01-06 22:00,0.181,6.090
2010-01-06 22:00,2010-01-06 23:00,0.163,5.930
2010-01-06 23:00,2010-01-07 00:00,0.167,5.960
2010-01-07 00:00,2010-01-07 01:00,0.141,5.726
2010-01-07 01:00,2010-01-07 02:00,0.110,5.393
2010-01-07 02:00,2010-01-07 03:00,0.082,5.031
2010-01-07 03:00,2010-01-07 04:00,0.040,4.313
2010-01-07 04:00,2010-01-07 05:00,0.011,3.386
