# Renewables.ninja Wind power (Point API) - 39.691, 16.482 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Rome, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Rome", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "39.6913", "lon": "16.4823", "date_from": "1994-01-01", "date_to": "1994-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V150 4000", "raw": true}}
time,local_time,electricity,wind_speed
1994-01-01 00:00,1994-01-01 01:00,0.443,6.829
1994-01-01 01:00,1994-01-01 02:00,0.508,7.243
1994-01-01 02:00,1994-01-01 03:00,0.557,7.558
1994-01-01 03:00,1994-01-01 04:00,0.561,7.578
1994-01-01 04:00,1994-01-01 05:00,0.575,7.675
1994-01-01 05:00,1994-01-01 06:00,0.583,7.731
1994-01-01 06:00,1994-01-01 07:00,0.565,7.604
1994-01-01 07:00,1994-01-01 08:00,0.568,7.620
1994-01-01 08:00,1994-01-01 09:00,0.659,8.241
1994-01-01 09:00,1994-01-01 10:00,0.746,8.939
1994-01-01 10:00,1994-01-01 11:00,0.808,9.536
1994-01-01 11:00,1994-01-01 12:00,0.842,9.917
1994-01-01 12:00,1994-01-01 13:00,0.878,10.437
1994-01-01 13:00,1994-01-01 14:00,0.912,11.055
1994-01-01 14:00,1994-01-01 15:00,0.935,11.605
1994-01-01 15:00,1994-01-01 16:00,0.965,12.710
1994-01-01 16:00,1994-01-01 17:00,0.973,13.167
1994-01-01 17:00,1994-01-01 18:00,0.959,12.442
1994-01-01 18:00,1994-01-01 19:00,0.939,11.717
1994-01-01 19:00,1994-01-01 20:00,0.923,11.283
1994-01-01 20:00,1994-01-01 21:00,0.918,11.177
1994-01-01 21:00,1994-01-01 22:00,0.885,10.543
1994-01-01 22:00,1994-01-01 23:00,0.817,9.630
1994-01-01 23:00,1994-01-02 00:00,0.718,8.703
1994-01-02 00:00,1994-01-02 01:00,0.685,8.436
1994-01-02 01:00,1994-01-02 02:00,0.815,9.612
1994-01-02 02:00,1994-01-02 03:00,0.886,10.570
1994-01-02 03:00,1994-01-02 04:00,0.903,10.873
1994-01-02 04:00,1994-01-02 05:00,0.902,10.847
1994-01-02 05:00,1994-01-02 06:00,0.876,10.399
1994-01-02 06:00,1994-01-02 07:00,0.824,9.709
1994-01-02 07:00,1994-01-02 08:00,0.780,9.245
1994-01-02 08:00,1994-01-02 09:00,0.815,9.609
1994-01-02 09:00,1994-01-02 10:00,0.854,10.085
1994-01-02 10:00,1994-01-02 11:00,0.864,10.226
1994-01-02 11:00,1994-01-02 12:00,0.856,10.113
1994-01-02 12:00,1994-01-02 13:00,0.839,9.890
1994-01-02 13:00,1994-01-02 14:00,0.823,9.695
1994-01-02 14:00,1994-01-02 15:00,0.766,9.121
1994-01-02 15:00,1994-01-02 16:00,0.718,8.694
1994-01-02 16:00,1994-01-02 17:00,0.614,7.940
1994-01-02 17:00,1994-01-02 18:00,0.467,6.984
1994-01-02 18:00,1994-01-02 19:00,0.401,6.572
1994-01-02 19:00,1994-01-02 20:00,0.378,6.421
1994-01-02 20:00,1994-01-02 21:00,0.371,6.371
1994-01-02 21:00,1994-01-02 22:00,0.415,6.662
1994-01-02 22:00,1994-01-02 23:00,0.450,6.883
1994-01-02 23:00,1994-01-03 00:00,0.483,7.079
1994-01-03 00:00,1994-01-03 01:00,0.503,7.220
1994-01-03 01:00,1994-01-03 02:00,0.499,7.187
1994-01-03 02:00,1994-01-03 03:00,0.449,6.878
1994-01-03 03:00,1994-01-03 04:00,0.454,6.907
1994-01-03 04:00,1994-01-03 05:00,0.434,6.786
1994-01-03 05:00,1994-01-03 06:00,0.360,6.307
1994-01-03 06:00,1994-01-03 07:00,0.287,5.798
1994-01-03 07:00,1994-01-03 08:00,0.204,5.163
1994-01-03 08:00,1994-01-03 09:00,0.166,4.813
1994-01-03 09:00,1994-01-03 10:00,0.159,4.751
1994-01-03 10:00,1994-01-03 11:00,0.139,4.533
1994-01-03 11:00,1994-01-03 12:00,0.111,4.218
1994-01-03 12:00,1994-01-03 13:00,0.075,3.724
1994-01-03 13:00,1994-01-03 14:00,0.048,3.265
1994-01-03 14:00,1994-01-03 15:00,0.037,3.032
1994-01-03 15:00,1994-01-03 16:00,0.047,3.227
1994-01-03 16:00,1994-01-03 17:00,0.051,3.320
1994-01-03 17:00,1994-01-03 18:00,0.051,3.325
1994-01-03 18:00,1994-01-03 19:00,0.051,3.317
1994-01-03 19:00,1994-01-03 20:00,0.070,3.634
1994-01-03 20:00,1994-01-03 21:00,0.096,4.028
1994-01-03 21:00,1994-01-03 22:00,0.116,4.277
1994-01-03 22:00,1994-01-03 23:00,0.142,4.576
1994-01-03 23:00,1994-01-04 00:00,0.180,4.948
1994-01-04 00:00,1994-01-04 01:00,0.222,5.305
1994-01-04 01:00,1994-01-04 02:00,0.270,5.684
1994-01-04 02:00,1994-01-04 03:00,0.340,6.178
1994-01-04 03:00,1994-01-04 04:00,0.389,6.498
1994-01-04 04:00,1994-01-04 05:00,0.407,6.612
1994-01-04 05:00,1994-01-04 06:00,0.413,6.649
1994-01-04 06:00,1994-01-04 07:00,0.407,6.607
1994-01-04 07:00,1994-01-04 08:00,0.334,6.134
1994-01-04 08:00,1994-01-04 09:00,0.361,6.318
1994-01-04 09:00,1994-01-04 10:00,0.424,6.718
1994-01-04 10:00,1994-01-04 11:00,0.486,7.109
1994-01-04 11:00,1994-01-04 12:00,0.510,7.255
1994-01-04 12:00,1994-01-04 13:00,0.500,7.191
1994-01-04 13:00,1994-01-04 14:00,0.472,7.022
1994-01-04 14:00,1994-01-04 15:00,0.394,6.533
1994-01-04 15:00,1994-01-04 16:00,0.386,6.475
1994-01-04 16:00,1994-01-04 17:00,0.399,6.560
1994-01-04 17:00,1994-01-04 18:00,0.452,6.890
1994-01-04 18:00,1994-01-04 19:00,0.493,7.144
1994-01-04 19:00,1994-01-04 20:00,0.522,7.334
1994-01-04 20:00,1994-01-04 21:00,0.561,7.590
