# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 39.691, 16.482 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Rome, electricity in kW
# {"units": {"time": "UTC", "local_time": "Europe/Rome", "electricity": "kW"}, "params": {"local_time": true, "header": true, "lat": "39.6913", "lon": "16.4823", "date_from": "1995-01-01", "date_to": "1995-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "1", "tilt": "35", "azim": "180", "raw": false}}
time,local_time,electricity
1995-01-01 00:00,1995-01-01 01:00,0
1995-01-01 01:00,1995-01-01 02:00,0
1995-01-01 02:00,1995-01-01 03:00,0
1995-01-01 03:00,1995-01-01 04:00,0
1995-01-01 04:00,1995-01-01 05:00,0
1995-01-01 05:00,1995-01-01 06:00,0
1995-01-01 06:00,1995-01-01 07:00,0.024
1995-01-01 07:00,1995-01-01 08:00,0.074
1995-01-01 08:00,1995-01-01 09:00,0.128
1995-01-01 09:00,1995-01-01 10:00,0.216
1995-01-01 10:00,1995-01-01 11:00,0.334
1995-01-01 11:00,1995-01-01 12:00,0.427
1995-01-01 12:00,1995-01-01 13:00,0.433
1995-01-01 13:00,1995-01-01 14:00,0.396
1995-01-01 14:00,1995-01-01 15:00,0.228
1995-01-01 15:00,1995-01-01 16:00,0.012
1995-01-01 16:00,1995-01-01 17:00,0
1995-01-01 17:00,1995-01-01 18:00,0
1995-01-01 18:00,1995-01-01 19:00,0
1995-01-01 19:00,1995-01-01 20:00,0
1995-01-01 20:00,1995-01-01 21:00,0
1995-01-01 21:00,1995-01-01 22:00,0
1995-01-01 22:00,1995-01-01 23:00,0
1995-01-01 23:00,1995-01-02 00:00,0
1995-01-02 00:00,1995-01-02 01:00,0
1995-01-02 01:00,1995-01-02 02:00,0
1995-01-02 02:00,1995-01-02 03:00,0
1995-01-02 03:00,1995-01-02 04:00,0
1995-01-02 04:00,1995-01-02 05:00,0
1995-01-02 05:00,1995-01-02 06:00,0
1995-01-02 06:00,1995-01-02 07:00,0.058
1995-01-02 07:00,1995-01-02 08:00,0.270
1995-01-02 08:00,1995-01-02 09:00,0.524
1995-01-02 09:00,1995-01-02 10:00,0.644
1995-01-02 10:00,1995-01-02 11:00,0.626
1995-01-02 11:00,1995-01-02 12:00,0.612
1995-01-02 12:00,1995-01-02 13:00,0.593
1995-01-02 13:00,1995-01-02 14:00,0.539
1995-01-02 14:00,1995-01-02 15:00,0.386
1995-01-02 15:00,1995-01-02 16:00,0.040
1995-01-02 16:00,1995-01-02 17:00,0
1995-01-02 17:00,1995-01-02 18:00,0
1995-01-02 18:00,1995-01-02 19:00,0
1995-01-02 19:00,1995-01-02 20:00,0
1995-01-02 20:00,1995-01-02 21:00,0
1995-01-02 21:00,1995-01-02 22:00,0
1995-01-02 22:00,1995-01-02 23:00,0
1995-01-02 23:00,1995-01-03 00:00,0
1995-01-03 00:00,1995-01-03 01:00,0
1995-01-03 01:00,1995-01-03 02:00,0
1995-01-03 02:00,1995-01-03 03:00,0
1995-01-03 03:00,1995-01-03 04:00,0
1995-01-03 04:00,1995-01-03 05:00,0
1995-01-03 05:00,1995-01-03 06:00,0
1995-01-03 06:00,1995-01-03 07:00,0.007
1995-01-03 07:00,1995-01-03 08:00,0.055
1995-01-03 08:00,1995-01-03 09:00,0.076
1995-01-03 09:00,1995-01-03 10:00,0.080
1995-01-03 10:00,1995-01-03 11:00,0.108
1995-01-03 11:00,1995-01-03 12:00,0.094
