# Renewables.ninja Solar PV (Point API) - 39.691, 16.482 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/Rome, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Rome", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "39.69133391130039", "lon": "16.48227156133377", "date_from": "2010-01-01", "date_to": "2010-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "1", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2010-01-01 00:00,2010-01-01 01:00,0,0,0,10.441
2010-01-01 01:00,2010-01-01 02:00,0,0,0,10.833
2010-01-01 02:00,2010-01-01 03:00,0,0,0,11.303
2010-01-01 03:00,2010-01-01 04:00,0,0,0,11.599
2010-01-01 04:00,2010-01-01 05:00,0,0,0,11.421
2010-01-01 05:00,2010-01-01 06:00,0,0,0,11.183
2010-01-01 06:00,2010-01-01 07:00,0.053,0.058,0.015,11.155
2010-01-01 07:00,2010-01-01 08:00,0.221,0.183,0.070,11.702
2010-01-01 08:00,2010-01-01 09:00,0.293,0.217,0.117,12.414
2010-01-01 09:00,2010-01-01 10:00,0.282,0.170,0.153,12.902
2010-01-01 10:00,2010-01-01 11:00,0.285,0.134,0.191,12.908
2010-01-01 11:00,2010-01-01 12:00,0.239,0.094,0.180,12.680
2010-01-01 12:00,2010-01-01 13:00,0.202,0.093,0.140,12.290
2010-01-01 13:00,2010-01-01 14:00,0.247,0.171,0.111,11.554
2010-01-01 14:00,2010-01-01 15:00,0.178,0.145,0.062,10.678
2010-01-01 15:00,2010-01-01 16:00,0.006,0.009,0.006,10.018
2010-01-01 16:00,2010-01-01 17:00,0,0,0,9.892
2010-01-01 17:00,2010-01-01 18:00,0,0,0,9.954
2010-01-01 18:00,2010-01-01 19:00,0,0,0,9.900
2010-01-01 19:00,2010-01-01 20:00,0,0,0,9.735
2010-01-01 20:00,2010-01-01 21:00,0,0,0,9.518
2010-01-01 21:00,2010-01-01 22:00,0,0,0,9.354
2010-01-01 22:00,2010-01-01 23:00,0,0,0,9.355
2010-01-01 23:00,2010-01-02 00:00,0,0,0,9.439
2010-01-02 00:00,2010-01-02 01:00,0,0,0,9.509
2010-01-02 01:00,2010-01-02 02:00,0,0,0,9.497
2010-01-02 02:00,2010-01-02 03:00,0,0,0,9.468
2010-01-02 03:00,2010-01-02 04:00,0,0,0,9.590
2010-01-02 04:00,2010-01-02 05:00,0,0,0,9.578
2010-01-02 05:00,2010-01-02 06:00,0,0,0,9.320
2010-01-02 06:00,2010-01-02 07:00,0.013,0.015,0.010,9.109
2010-01-02 07:00,2010-01-02 08:00,0.151,0.109,0.067,9.394
2010-01-02 08:00,2010-01-02 09:00,0.299,0.224,0.114,9.985
2010-01-02 09:00,2010-01-02 10:00,0.426,0.343,0.141,10.584
2010-01-02 10:00,2010-01-02 11:00,0.454,0.352,0.166,10.984
2010-01-02 11:00,2010-01-02 12:00,0.453,0.356,0.161,11.143
2010-01-02 12:00,2010-01-02 13:00,0.487,0.431,0.127,11.114
2010-01-02 13:00,2010-01-02 14:00,0.370,0.316,0.102,10.727
2010-01-02 14:00,2010-01-02 15:00,0.199,0.168,0.060,10.081
2010-01-02 15:00,2010-01-02 16:00,0.012,0.017,0.007,9.470
2010-01-02 16:00,2010-01-02 17:00,0,0,0,9.317
2010-01-02 17:00,2010-01-02 18:00,0,0,0,9.377
2010-01-02 18:00,2010-01-02 19:00,0,0,0,9.531
2010-01-02 19:00,2010-01-02 20:00,0,0,0,9.710
2010-01-02 20:00,2010-01-02 21:00,0,0,0,9.745
2010-01-02 21:00,2010-01-02 22:00,0,0,0,9.550
2010-01-02 22:00,2010-01-02 23:00,0,0,0,9.258
2010-01-02 23:00,2010-01-03 00:00,0,0,0,8.799
2010-01-03 00:00,2010-01-03 01:00,0,0,0,8.284
2010-01-03 01:00,2010-01-03 02:00,0,0,0,7.821
2010-01-03 02:00,2010-01-03 03:00,0,0,0,7.450
2010-01-03 03:00,2010-01-03 04:00,0,0,0,7.087
2010-01-03 04:00,2010-01-03 05:00,0,0,0,6.447
2010-01-03 05:00,2010-01-03 06:00,0,0,0,5.708
2010-01-03 06:00,2010-01-03 07:00,0.106,0.112,0.014,5.419
2010-01-03 07:00,2010-01-03 08:00,0.464,0.461,0.057,6.710
2010-01-03 08:00,2010-01-03 09:00,0.672,0.709,0.073,7.809
2010-01-03 09:00,2010-01-03 10:00,0.724,0.773,0.083,8.563
2010-01-03 10:00,2010-01-03 11:00,0.718,0.772,0.078,9.009
2010-01-03 11:00,2010-01-03 12:00,0.691,0.731,0.084,9.171
2010-01-03 12:00,2010-01-03 13:00,0.660,0.684,0.088,9.098
2010-01-03 13:00,2010-01-03 14:00,0.584,0.596,0.075,8.760
2010-01-03 14:00,2010-01-03 15:00,0.388,0.383,0.051,7.947
2010-01-03 15:00,2010-01-03 16:00,0.042,0.051,0.008,6.256
2010-01-03 16:00,2010-01-03 17:00,0,0,0,5.543
2010-01-03 17:00,2010-01-03 18:00,0,0,0,4.945
2010-01-03 18:00,2010-01-03 19:00,0,0,0,4.216
2010-01-03 19:00,2010-01-03 20:00,0,0,0,3.597
2010-01-03 20:00,2010-01-03 21:00,0,0,0,3.300
2010-01-03 21:00,2010-01-03 22:00,0,0,0,3.101
2010-01-03 22:00,2010-01-03 23:00,0,0,0,3.009
2010-01-03 23:00,2010-01-04 00:00,0,0,0,3.133
2010-01-04 00:00,2010-01-04 01:00,0,0,0,3.247
2010-01-04 01:00,2010-01-04 02:00,0,0,0,3.265
2010-01-04 02:00,2010-01-04 03:00,0,0,0,3.297
2010-01-04 03:00,2010-01-04 04:00,0,0,0,3.322
2010-01-04 04:00,2010-01-04 05:00,0,0,0,3.186
2010-01-04 05:00,2010-01-04 06:00,0,0,0,3.176
2010-01-04 06:00,2010-01-04 07:00,0.019,0.019,0.013,3.537
2010-01-04 07:00,2010-01-04 08:00,0.098,0.054,0.063,5.193
2010-01-04 08:00,2010-01-04 09:00,0.203,0.110,0.119,6.462
2010-01-04 09:00,2010-01-04 10:00,0.274,0.145,0.160,7.368
2010-01-04 10:00,2010-01-04 11:00,0.294,0.131,0.197,8.016
2010-01-04 11:00,2010-01-04 12:00,0.325,0.160,0.203,8.511
2010-01-04 12:00,2010-01-04 13:00,0.128,0.032,0.120,8.386
2010-01-04 13:00,2010-01-04 14:00,0.068,0.015,0.073,8.087
2010-01-04 14:00,2010-01-04 15:00,0.027,0.008,0.034,7.715
2010-01-04 15:00,2010-01-04 16:00,0,0.001,0.003,7.142
2010-01-04 16:00,2010-01-04 17:00,0,0,0,7.096
2010-01-04 17:00,2010-01-04 18:00,0,0,0,7.388
2010-01-04 18:00,2010-01-04 19:00,0,0,0,7.791
2010-01-04 19:00,2010-01-04 20:00,0,0,0,8.115
2010-01-04 20:00,2010-01-04 21:00,0,0,0,8.469
2010-01-04 21:00,2010-01-04 22:00,0,0,0,8.782
